t_ms,vrms_raw,irmsa_raw,irmsb_raw,awatt_raw,avar_raw,ava_raw,aenergy_raw,pf_raw,period_raw,vpeak_raw,iapeak_raw
163568,6672131,2187660,1773,861465,-38160,869813,0,-32454,3728,4688667,1921079
163668,6670232,2187477,1773,861095,-38165,869498,0,-32452,3727,4686954,1915249
163768,6671334,2187639,1773,861257,-38179,869683,0,-32451,3728,4686879,1910376
163868,6670396,2187445,1773,861166,-38199,869514,0,-32453,3729,4687166,1920650
163968,6669014,2187543,1773,860806,-38072,869391,0,-32444,3728,4687335,1929023
164068,6669832,2187741,1773,861059,-38224,869568,36750,-32447,3729,4686823,1920105
164168,6669085,2187371,1773,860946,-38320,869311,0,-32452,3728,4688167,1919287
164268,6669789,2187909,1773,860945,-38307,869634,0,-32440,3728,4689509,1918916
164368,6670559,2187821,1773,861139,-38314,869695,0,-32445,3729,4687362,1919594
164468,6670755,2187744,1773,861297,-38410,869675,0,-32451,3728,4687954,1925510
164568,6666807,2187098,1773,860494,-38236,868933,0,-32449,3728,4683739,1917343
164668,6661059,2185952,1773,859508,-38194,867735,0,-32455,3727,4684121,1921633
164768,6666839,2187188,1773,860662,-38349,868953,0,-32454,3728,4686518,1923297
164868,6667255,2187367,1773,860358,-38245,869108,0,-32437,3728,4687542,1913776
164968,6664694,2186654,1773,859995,-38227,868491,0,-32446,3728,4682540,1903534
165068,6665387,2186410,1773,860271,-38167,868458,36717,-32457,3728,4684382,1896529
165168,6666110,2186575,1773,860211,-38062,868671,0,-32447,3729,4685421,1889150
165268,6668210,2187091,1773,860836,-38181,869125,0,-32454,3729,4685926,1905274
165368,6666506,2187004,1773,860428,-38073,868880,0,-32447,3728,4683437,1916081
165468,6670039,2187446,1773,861091,-38130,869511,0,-32448,3728,4688714,1902161
165568,6669496,2187403,1773,861036,-38184,869427,0,-32449,3728,4688126,1913357
165668,6672119,2188056,1773,861513,-38237,870021,0,-32445,3728,4688678,1911855
165768,6669774,2187402,1773,861149,-38193,869459,0,-32452,3728,4690818,1919224
165868,6669420,2187430,1773,861184,-38234,869430,0,-32454,3728,4690702,1904810
165968,6668897,2187440,1773,860944,-38228,869376,0,-32447,3728,4689462,1901786
166068,6668671,2187369,1773,860904,-38215,869324,36731,-32448,3728,4687333,1909689
